title,artist,version,key,capo,difficulty,energy,bpm,moments,themes,tags,youtube_url
Único,,,,,intermediaria,3,,Adoração,"adoração|soberania",,
Quero Conhecer Jesus,,,,,intermediaria,2,,Adoração,"presença|entrega",,
Bondade de Deus,,,,,intermediaria,3,,Adoração,"fidelidade|gratidão",contemporaneo,
Creio Que Tu És a Cura,,,,,intermediaria,2,,"Adoração|Ministração","cura|confiança",,
Rei dos Reis,,,,,intermediaria,3,,Adoração,soberania,,
Hosana,,,,,intermediaria,4,,"Adoração|Celebração","adoração|celebração",,
Meu Respirar,,,,,intermediaria,2,,Adoração,"entrega|presença",,
Aclame ao Senhor,,,,,intermediaria,4,,"Adoração|Celebração",celebração,,
Reina em Mim,,,,,intermediaria,3,,Adoração,"entrega|soberania",,
Abre os Olhos do Meu Coração,,,,,intermediaria,2,,Adoração,"presença|santidade",hino-classico,
Jesus Em Tua Presença,,,,,intermediaria,2,,Adoração,presença,,
"Espírito, Enche a Minha Vida",,,,,intermediaria,2,,Adoração,Espírito Santo,,
Nos Braços do Pai,,,,,intermediaria,1,,"Adoração|Ministração","confiança|presença",,
Pai Nosso,,,,,intermediaria,2,,Adoração,"presença|santidade",oracao,
Mais Perto Quero Estar,,,,,intermediaria,2,,Adoração,"presença|entrega",hino-classico,
Tu És Santo,,,,,intermediaria,2,,Adoração,santidade,,
Eu Vou Construir,,,,,intermediaria,3,,Adoração,"fidelidade|entrega",,
Rude Cruz,,,,,iniciante,1,,Ceia,"cruz|salvação",hino-classico,
Alvo Mais Que a Neve,,,,,iniciante,1,,Ceia,"cruz|santidade",hino-classico,
Foi na Cruz,,,,,intermediaria,1,,Ceia,"cruz|salvação",,
Nada Além do Sangue,,,,,intermediaria,1,,Ceia,"cruz|salvação",hino-classico,
Graça,,,,,intermediaria,1,,"Ceia|Apelo",graça,,
Filho Pródigo,,,,,intermediaria,1,,Apelo,"arrependimento|graça",,
Quebrantado,,,,,intermediaria,1,,Apelo,"arrependimento|entrega",,
Eis-Me Aqui,,,,,intermediaria,1,,Apelo,"entrega|missão",,
Vim Para Adorar-Te,,,,,intermediaria,1,,"Ceia|Adoração","adoração|entrega",,
Leva-Me Além,,,,,intermediaria,1,,"Apelo|Ministração","entrega|confiança",,
Quero Descer,,,,,intermediaria,1,,Apelo,"entrega|arrependimento",,
"Sonda-Me, Usa-Me",,,,,intermediaria,1,,Apelo,"entrega|arrependimento",hino-classico,
Renova-Me,,,,,intermediaria,1,,Apelo,"entrega|Espírito Santo",,
Estou Contigo Senhor,,,,,intermediaria,1,,"Ceia|Apelo","confiança|entrega",,
Meu Tributo,,,,,intermediaria,2,,Ceia,"gratidão|entrega",,
A Vitória da Cruz,,,,,intermediaria,2,,Ceia,"cruz|salvação",,
Consagração,,,,,intermediaria,1,,Apelo,"entrega|santidade",,
Me Derramar,,,,,intermediaria,1,,Apelo,entrega,,
Aos Pés da Cruz,,,,,intermediaria,1,,Ceia,"cruz|arrependimento",,
Fiel a Mim,,,,,intermediaria,1,,"Ceia|Apelo","fidelidade|confiança",,
Deus Está Aqui,,,,,intermediaria,2,,"Ministração|Adoração",presença,,
A Presença,,,,,intermediaria,1,,Ministração,presença,,
Em Teus Braços,,,,,intermediaria,1,,Ministração,"confiança|presença",,
Rendido Estou,,,,,intermediaria,1,,Ministração,entrega,,
Descansarei,,,,,intermediaria,1,,Ministração,"confiança|esperança",,
Ele Vem,,,,,intermediaria,2,,"Ministração|Encerramento",esperança,,
Me Atraiu,,,,,intermediaria,1,,Ministração,"presença|entrega",,
Quando Ele Vem,,,,,intermediaria,1,,Ministração,"presença|esperança",,
Eu Me Rendo,,,,,intermediaria,1,,Ministração,entrega,,
Todavia Me Alegrarei,,,,,intermediaria,2,,Ministração,"confiança|alegria",,
Ousado Amor,,,,,avancada,2,,"Ministração|Adoração","graça|confiança",contemporaneo,
Caminho no Deserto,,,,,intermediaria,1,,Ministração,"confiança|esperança",,
A Bênção,,,,,intermediaria,2,,"Ministração|Encerramento",fidelidade,,
Vou Crer,,,,,intermediaria,2,,Ministração,"confiança|esperança",,
"Tu És Fiel, Senhor",,,,,intermediaria,1,,Ministração,fidelidade,,
Rei Meu,,,,,intermediaria,3,,Encerramento,"soberania|celebração",,
Seja Engrandecido,,,,,intermediaria,4,,"Encerramento|Celebração",soberania,,
Sou Feliz,,,,,iniciante,4,,Encerramento,alegria,,
Nada Temerei,,,,,intermediaria,3,,Encerramento,"confiança|esperança",,
Emanuel,,,,,intermediaria,3,,Encerramento,"presença|salvação",,
Graça Sobre Graça,,,,,intermediaria,3,,Encerramento,graça,,
Há um Rio,,,,,intermediaria,3,,"Encerramento|Adoração","Espírito Santo|alegria",,
Maravilhoso És,,,,,intermediaria,3,,Encerramento,"soberania|adoração",,
Rei Jesus,,,,,intermediaria,4,,"Encerramento|Celebração",soberania,,
Vim Para Exaltar-Te,,,,,intermediaria,4,,"Encerramento|Celebração",celebração,,
Eu Sei Que Não Estou Só,,,,,intermediaria,3,,Encerramento,"confiança|esperança",,
Deus Cuida de Mim,,,,,iniciante,3,,Encerramento,confiança,,
Coração Igual ao Teu,,,,,intermediaria,2,,"Encerramento|Ministração","santidade|entrega",,
Grande em Misericórdia,,,,,intermediaria,3,,Encerramento,"graça|fidelidade",,
Eu Vou Celebrar,,,,,intermediaria,4,,"Encerramento|Celebração","celebração|alegria",,
Bênçãos Que Não Têm Fim,Isadora Pompeo,,,,intermediaria,3,,Adoração,"gratidão|fidelidade",,
Raridade,Anderson Freire,,,,intermediaria,2,,"Adoração|Ministração","confiança|gratidão",,
Deserto,Maria Marçal,,,,intermediaria,1,,Ministração,"confiança|esperança",,
Se Eu Não Te Ouvir,Sarah Farias,,,,intermediaria,1,,"Ministração|Apelo","entrega|presença",,
Quem É Esse?,Julliany Souza,,,,intermediaria,4,,Celebração,"soberania|celebração",,
Acalma Meu Coração,Anderson Freire,,,,intermediaria,1,,Ministração,"confiança|esperança",,
Era a Mão de Deus,Kailane Frauches,,,,intermediaria,2,,"Adoração|Ministração","fidelidade|confiança",,
Passa Lá em Casa Jesus,Kailane Frauches,,,,intermediaria,2,,Adoração,"presença|entrega",,
Os Sonhos de Deus,Gabriela Rocha,,,,intermediaria,2,,Ministração,"esperança|confiança",,
A Vitória Chegou,Luanna Dourado / Aurelina Dourado,,,,intermediaria,5,,Celebração,"celebração|confiança",,
Jeová Jireh,Aline Barros,,,,intermediaria,3,,"Celebração|Adoração","fidelidade|confiança",,
Enche-Me,Isaías Saad / Gabriela Rocha,,,,intermediaria,2,,Adoração,"Espírito Santo|entrega",,
Cuido dos Detalhes,André e Felipe / Isadora Pompeo,,,,intermediaria,2,,Adoração,"confiança|fidelidade",,
Grandes Coisas,Fernandinho,,,,avancada,5,,Celebração,"soberania|celebração",contemporaneo,
Hino da Vitória,Cassiane,,,,intermediaria,4,,Celebração,"celebração|confiança",,
Cura,Maria Marçal,,,,intermediaria,1,,"Ministração|Apelo",cura,,
Casa do Pai,Aline Barros,,,,intermediaria,3,,"Adoração|Encerramento","presença|esperança",,
Estamos de Pé,Marcus Salles,,,,intermediaria,4,,Celebração,"celebração|confiança",,
O Que Sua Glória Fez Comigo,Fernanda Brum,,,,intermediaria,4,,"Celebração|Adoração","gratidão|celebração",,
Mesmo Sem Entender,Thalles Roberto,,,,intermediaria,2,,Ministração,"confiança|fidelidade",,
Meu Universo,PG,,,,intermediaria,2,,Adoração,"adoração|entrega",,
Aba,Kemuel / Ton Carfi,,,,intermediaria,2,,Adoração,"presença|confiança",,
Vida aos Sepulcros,Gabriela Rocha,,,,intermediaria,3,,"Celebração|Adoração","salvação|esperança",,
Oh Quão Lindo Esse Nome É,Kemuel,,,,intermediaria,2,,Adoração,"adoração|santidade",,
Pode Morar Aqui,Theo Rubia,,,,intermediaria,2,,Adoração,"presença|Espírito Santo",,
Restitui,Davi Sacer,,,,intermediaria,1,,"Apelo|Ministração","esperança|graça",,
Amigo Espírito Santo,Cassiane,,,,intermediaria,2,,Adoração,Espírito Santo,,
Minha Calmaria,Gabriel Brito / André e Felipe,,,,intermediaria,1,,Ministração,"confiança|esperança",,
Venha Ao Teu Reino,Davi Sacer,,,,intermediaria,3,,"Celebração|Adoração",soberania,,
Arde Outra Vez,Thalles Roberto,,,,intermediaria,2,,"Adoração|Ministração","Espírito Santo|entrega",,
A Resposta,Thalles Roberto,,,,intermediaria,4,,Celebração,"salvação|celebração",,
Jesus é o Caminho,Heloisa Rosa,,,,intermediaria,2,,Adoração,"salvação|confiança",,
Coração de Joelhos,Samuel Miranda,,,,intermediaria,1,,"Apelo|Ministração","arrependimento|entrega",,
Canção do Céu,Anderson Freire,,,,intermediaria,2,,Adoração,"esperança|adoração",,
Coração Valente,Anderson Freire,,,,intermediaria,4,,Celebração,"confiança|esperança",,
É Tudo Sobre Você,MORADA,,,,intermediaria,2,,Adoração,"adoração|entrega",,
Creio em Ti,Arthur Callazans / Anderson Freire,,,,intermediaria,2,,"Adoração|Ministração",confiança,,
Há um Lugar,Heloisa Rosa,,,,intermediaria,2,,Adoração,"presença|esperança",,
Vim Falar com Deus,Delino Marçal,,,,intermediaria,2,,Adoração,"presença|confiança",oracao,
O Teu Amor,Kemuel,,,,intermediaria,2,,Adoração,"graça|fidelidade",,
Deus Não Desperdiça Suas Lágrimas,Paulo Neto,,,,intermediaria,1,,Ministração,"esperança|confiança",,
Atraídos pelo Fogo,Casa Worship,,,,intermediaria,4,,"Celebração|Adoração","Espírito Santo|celebração",,
Sua Paz,Isadora Pompeo,,,,intermediaria,1,,Ministração,"confiança|esperança",,
Eu Não Sou Mais Órfão,Gabriel Brito,,,,intermediaria,2,,Adoração,"salvação|confiança",,
Nada Além de Ti,Thalles Roberto,,,,intermediaria,2,,Adoração,"entrega|adoração",,
Eu Vou Passar Pela Cruz,PG,,,,intermediaria,1,,"Ceia|Apelo","cruz|entrega",,
Resultado,Isadora Pompeo,,,,intermediaria,4,,Celebração,"gratidão|celebração",,
És Real Pra Mim,Fernanda Brum,,,,intermediaria,2,,Adoração,"confiança|adoração",,
Atrai Meu Coração,Nani Azevedo,,,,intermediaria,2,,Adoração,"entrega|presença",,
Deus de Futuro,Sarah Farias,,,,intermediaria,3,,"Celebração|Adoração","esperança|fidelidade",,
Meu Prazer,PG,,,,intermediaria,2,,Adoração,"adoração|entrega",,
A Mensagem da Cruz,Nani Azevedo,,,,intermediaria,1,,Ceia,"cruz|salvação",,
Todos Um,Kemuel,,,,intermediaria,3,,"Celebração|Adoração",comunhão,,
Não Chore João,MORADA,,,,intermediaria,1,,Ministração,"esperança|confiança",,
Eu Tenho Você,Incendiários / Marcelo Markes,,,,intermediaria,1,,Ministração,"confiança|presença",,
Vencendo de Joelhos,Kemilly Santos,,,,intermediaria,1,,"Apelo|Ministração","entrega|confiança",,
Em Todas as Áreas,Gabriel Brito,,,,intermediaria,4,,Celebração,"soberania|confiança",,
Santo Pra Sempre,Fernandinho,,,,intermediaria,2,,Adoração,santidade,,
Para Ti Eu Vou,Central 3,,,,intermediaria,2,,"Adoração|Apelo","entrega|missão",,
Se Eles Soubessem,Laura Souguellis,,,,intermediaria,3,,"Celebração|Adoração","missão|gratidão",,
Tudo É Perda,Felipe Rodrigues,,,,intermediaria,2,,Adoração,"entrega|adoração",,
Todas as Coisas / Tudo Entregarei,Isaías Saad,,,,intermediaria,2,,Adoração,entrega,,
Vamos Cantar,Julia Vitória / Marcelo Markes,,,,iniciante,5,,Celebração,"celebração|alegria",,
O Nome de Jesus,Isadora Pompeo,,,,intermediaria,3,,"Celebração|Adoração","soberania|adoração",,
Vem,Julia Vitória,,,,intermediaria,2,,Adoração,"presença|Espírito Santo",,
Nas Palavras de Lázaro,Preto no Branco,,,,intermediaria,2,,Ministração,"esperança|confiança",,
Vejo Uma Luz,Rebeca Carvalho,,,,intermediaria,2,,Ministração,esperança,,
Atos 2,Gabriela Rocha,,,,intermediaria,4,,"Celebração|Adoração","Espírito Santo|celebração",,
Deus Me Levantou,Thalles Roberto,,,,intermediaria,4,,Celebração,"confiança|esperança",,
Eu Não Vou Parar,Midian Lima,,,,intermediaria,4,,Celebração,"missão|confiança",,
Até Que o Senhor Venha,Alessandro Vilas Boas,,,,intermediaria,3,,Encerramento,esperança,,
Deixa Queimar,Alessandro Vilas Boas,,,,intermediaria,3,,Adoração,Espírito Santo,,
Ruja o Leão,fhop music,,,,intermediaria,5,,Celebração,"soberania|celebração",,
Só Tu És Santo,MORADA,,,,intermediaria,2,,Adoração,santidade,,
Teu Amor Não Falha,Nívea Soares,,,,intermediaria,2,,Adoração,fidelidade,,
Que Se Abram os Céus,Nívea Soares,,,,intermediaria,4,,"Celebração|Adoração","Espírito Santo|celebração",,
Preciso de Ti,Diante do Trono,,,,intermediaria,2,,Adoração,"entrega|confiança",,
Águas Purificadoras,Diante do Trono,,,,intermediaria,1,,"Ministração|Apelo","santidade|arrependimento",,
Manancial,Diante do Trono,,,,intermediaria,2,,Adoração,"Espírito Santo|presença",,
Canção do Apocalipse,Diante do Trono,,,,intermediaria,3,,"Celebração|Adoração","soberania|santidade",,
Tempo de Festa,Diante do Trono,,,,intermediaria,5,,Celebração,"celebração|alegria",,
Quão Grande É o Meu Deus,Soraya Moraes,,,,intermediaria,4,,"Celebração|Adoração",soberania,contemporaneo,
Deus de Aliança,Toque no Altar,,,,intermediaria,4,,Celebração,fidelidade,,
Marca da Promessa,Trazendo a Arca,,,,intermediaria,3,,Adoração,"fidelidade|soberania",,
Sobre as Águas,Trazendo a Arca,,,,intermediaria,2,,"Adoração|Ministração",confiança,,
Olha Pra Mim,Toque no Altar,,,,intermediaria,1,,Ministração,"presença|confiança",,
Deus de Milagres,Davi Sacer,,,,intermediaria,4,,Celebração,"soberania|cura",,
Tua Graça Me Basta,Davi Sacer,,,,intermediaria,2,,Adoração,graça,,
Essência da Adoração,David Quinlan,,,,intermediaria,2,,Adoração,adoração,,
Abraça-Me,David Quinlan,,,,intermediaria,1,,Ministração,"presença|confiança",,
Ao Único,Koinonya,,,,intermediaria,3,,"Adoração|Celebração","adoração|soberania",,
Não Há Deus Maior,Comunidade da Graça,,,,intermediaria,4,,Celebração,soberania,,
Poder Pra Salvar,Aline Barros,,,,intermediaria,4,,Celebração,"salvação|soberania",,
"Santo, Santo, Santo",tradicional,,,,iniciante,2,,"Encerramento|Adoração",santidade,hino-classico,
Firme nas Promessas,tradicional,,,,iniciante,3,,Encerramento,fidelidade,hino-classico,
Chuvas de Graça,Harpa Cristã,,,,iniciante,2,,Adoração,graça,hinario,
Vencendo Vem Jesus,tradicional,,,,iniciante,3,,Encerramento,"esperança|celebração",hino-classico,
Castelo Forte,tradicional,,,,iniciante,3,,"Celebração|Encerramento","soberania|confiança",hino-classico,
Segura na Mão de Deus,tradicional,,,,iniciante,2,,"Ministração|Encerramento",confiança,hino-classico,
Primeiro Amor,Carlinhos Felix,,,,intermediaria,1,,"Adoração|Apelo","arrependimento|entrega",,
