title,artist,version,key,capo,difficulty,energy,bpm,moments,themes,tags,youtube_url
Meu Grande Amor,Preto no Branco,,,,intermediaria,3,,Adoração,graça,,
Se Organize,Preto no Branco,,,,intermediaria,3,,Ministração,confiança,,
Os Anjos Te Louvam,Preto no Branco,,,,intermediaria,4,,Celebração,"adoração|celebração",,
Me Faz Voar,Preto no Branco,,,,intermediaria,4,,Celebração,esperança,,
Desperta,Kemuel,,,,intermediaria,4,,Ministração,Espírito Santo,,
Não Valeria,Kemuel,,,,intermediaria,2,,Ministração,graça,,
Oceanos,Kemuel,,,,intermediaria,2,,Ministração,confiança,,
Eu Também (100 Bilhões X),Kemuel,,,,intermediaria,5,,Celebração,celebração,,
Colossenses e Suas Linhas de Amor,fhop music,,,,intermediaria,3,,Ministração,graça,,
Vendavais,Anderson Freire,,,,intermediaria,3,,Ministração,confiança,,
O Mapa do Tesouro,Anderson Freire,,,,intermediaria,2,,Ministração,esperança,,
Acima da Média,Anderson Freire,,,,intermediaria,3,,Ministração,graça,,
Você Tem Um Pai,Anderson Freire,,,,intermediaria,2,,Ministração,presença,,
Humilde Rei,Anderson Freire,,,,intermediaria,2,,Adoração,graça,,
Redenção,Fernanda Brum,,,,intermediaria,2,,Ministração,salvação,,
Cura-me,Fernanda Brum,,,,intermediaria,2,,Ministração,cura,,
Espontâneo,"Fernanda Brum / Marcos Freire / Ludmila Ferber",,,,intermediaria,3,,Adoração,adoração,,
Santa Ceia,Fernanda Brum,,,,intermediaria,1,,Ceia,"cruz|comunhão",,
Sou Humano,Bruna Karla,,,,intermediaria,2,,Ministração,graça,,
Eu Não Abro Mão,Bruna Karla,,,,intermediaria,3,,Ministração,confiança,,
Deus da Minha Vida,Thalles Roberto,,,,intermediaria,4,,Celebração,soberania,,
Deus da Força,Thalles Roberto,,,,intermediaria,4,,Celebração,confiança,,
Avenida do Arrependimento,Thalles Roberto,,,,intermediaria,2,,Apelo,arrependimento,,
Gratidão,Thalles Roberto,,,,intermediaria,4,,Celebração,gratidão,,
Liberdade,Livres para Adorar,,,,intermediaria,4,,Celebração,salvação,,
Onde os Anjos Temem Ir,Livres para Adorar,,,,intermediaria,2,,Adoração,"adoração|santidade",,
O Adorem,Livres para Adorar,,,,intermediaria,3,,Adoração,adoração,,
A História de Deus,Livres para Adorar,,,,intermediaria,3,,Ministração,soberania,,
Quão Lindo És,Livres para Adorar,,,,intermediaria,2,,Adoração,adoração,,
Quero Te Ver,Livres para Adorar,,,,intermediaria,2,,Adoração,adoração,,
O Teu Olhar,Livres para Adorar,,,,intermediaria,2,,Adoração,presença,,
Ministração da Cruz,Livres para Adorar,,,,iniciante,1,,Ministração,cruz,,
Alvo da Minha Adoração,Livres para Adorar,,,,intermediaria,2,,Adoração,adoração,,
Envia Avivamento (Começa em Mim),Livres para Adorar,,,,intermediaria,3,,Ministração,Espírito Santo,,
Vai Valer A Pena,Livres para Adorar,,,,intermediaria,3,,Ministração,esperança,,
Nunca Me Deixou,Livres para Adorar,,,,intermediaria,2,,Ministração,fidelidade,,
Salmos 126,Ministério Zoe,,,,intermediaria,3,,Ministração,esperança,,
Nunca Foi Sobre Nós,Ministério Zoe,,,,intermediaria,2,,Ministração,entrega,,
No Silêncio,Ministério Zoe,,,,iniciante,1,,Adoração,presença,,
Você Me Leva ao Deserto,Ministério Zoe,,,,intermediaria,2,,Ministração,confiança,,
"Levanta, Resplandece",Ministério Zoe,,,,intermediaria,4,,Celebração,missão,,
Canção do Valente,Ministério Zoe,,,,intermediaria,4,,Celebração,confiança,,
Maranata,Ministério Avivah,,,,intermediaria,4,,Celebração,esperança,,
Invocamos,Ministério Avivah,,,,intermediaria,3,,Ministração,Espírito Santo,,
Não Há Um Nome Igual,Ministério Avivah,,,,intermediaria,3,,Adoração,adoração,,
Rocha Eterna,Ministério Avivah,,,,intermediaria,2,,Adoração,fidelidade,,
Diminua Eu,Ministério Avivah,,,,iniciante,2,,Ministração,entrega,,
Me Escolheste,Ministério Avivah,,,,iniciante,2,,Ministração,graça,,
Do Céu Ele Desceu,Ministério Avivah,,,,intermediaria,3,,Celebração,salvação,,
És Meu Deus,Ministério Avivah,,,,intermediaria,3,,Adoração,adoração,,
O Amor Venceu a Morte,Ministério Avivah,,,,intermediaria,4,,Celebração,"salvação|cruz",,
Abram Os Portões,Ministério Avivah,,,,intermediaria,5,,Celebração,celebração,,
Em Tua Presença,Nívea Soares,,,,intermediaria,2,,Adoração,presença,,
Poderoso Deus,David Quinlan,,,,intermediaria,4,,Celebração,soberania,,
Agnus Dei,David Quinlan,,,,intermediaria,2,,Adoração,"santidade|cruz",,
Quero Ser Como Criança,David Quinlan,,,,intermediaria,2,,Ministração,entrega,,
Eu Te Busco,David Quinlan,,,,intermediaria,2,,Adoração,presença,,
Filho De Davi,David Quinlan,,,,intermediaria,3,,Celebração,salvação,,
Geração Que Dança,David Quinlan,,,,intermediaria,5,,Celebração,celebração,,
Só Quero Ver Você,Dunamis Music,,,,intermediaria,2,,Adoração,presença,,
Glória,Dunamis Music,,,,intermediaria,4,,Celebração,adoração,,
Meu Lugar é Aqui,Dunamis Music,,,,intermediaria,2,,Adoração,presença,,
Minha Recompensa,Dunamis Music,,,,intermediaria,2,,Ministração,esperança,,
Minha Oração,Dunamis Music,,,,intermediaria,2,,Ministração,entrega,,
Celebre,Trazendo a Arca,,,,intermediaria,5,,Celebração,celebração,,
Muda-me,Trazendo a Arca,,,,intermediaria,2,,Ministração,santidade,,
Não Vou Desistir,Trazendo a Arca,,,,intermediaria,3,,Ministração,confiança,,
Lembra Senhor,Toque no Altar,,,,intermediaria,2,,Ministração,fidelidade,,
Te Conhecer,Toque no Altar,,,,intermediaria,2,,Adoração,adoração,,
Desejo do Meu Coração,Toque no Altar,,,,intermediaria,2,,Adoração,entrega,,
Abro Mão,Toque no Altar,,,,intermediaria,2,,Ministração,entrega,,
Não Tenho Outro Bem,Toque no Altar,,,,intermediaria,2,,Adoração,adoração,,
"Sacia-me, Senhor e Rei",Toque no Altar,,,,iniciante,2,,Adoração,presença,,
Eu Vou Viver Uma Virada,Toque no Altar,,,,intermediaria,4,,Celebração,esperança,,
Cadeias Quebrar,Soraya Moraes,,,,intermediaria,4,,Celebração,"salvação|cura",,
Digno de Glória,Soraya Moraes,,,,intermediaria,3,,Adoração,adoração,,
Sopra Espírito,Soraya Moraes,,,,intermediaria,3,,Ministração,Espírito Santo,,
Jó,Midian Lima,,,,intermediaria,3,,Ministração,confiança,,
Não Pare,Midian Lima,,,,intermediaria,4,,Celebração,esperança,,
Prioridade,Midian Lima,,,,intermediaria,3,,Ministração,entrega,,
Soldado Ferido,Midian Lima,,,,intermediaria,2,,Ministração,confiança,,
Aguenta Coração,Midian Lima,,,,intermediaria,2,,Ministração,esperança,,
Olharei Para o Alto,Midian Lima,,,,intermediaria,3,,Ministração,confiança,,
Você Não Imagina,"Midian Lima / Delino Marçal",,,,intermediaria,4,,Celebração,esperança,,
A Promessa Está de Pé,"Midian Lima / Samuel Messias",,,,intermediaria,4,,Celebração,fidelidade,,
Ovelhinha,Isadora Pompeo,,,,intermediaria,2,,Ministração,"cura|entrega",,
"Oi, Jesus",Isadora Pompeo,,,,intermediaria,2,,Adoração,comunhão,,
"Hey, Pai",Isadora Pompeo,,,,intermediaria,2,,Adoração,comunhão,,
Como Nunca Antes,Isadora Pompeo,,,,intermediaria,3,,Ministração,confiança,,
Braços de Amor,Isadora Pompeo,,,,intermediaria,2,,Adoração,presença,,
Processo,Isadora Pompeo,,,,intermediaria,2,,Ministração,confiança,,
Seja Forte,Isadora Pompeo,,,,intermediaria,3,,Ministração,esperança,,
Imagine,Cassiane,,,,intermediaria,3,,Ministração,esperança,,
Vencedor Sempre Serei,Cassiane,,,,intermediaria,4,,Celebração,confiança,,
Chuva de Fogo,Cassiane,,,,intermediaria,4,,Ministração,Espírito Santo,,
Vale a Pena,Cassiane,,,,intermediaria,3,,Ministração,confiança,,
Com Muito Louvor,Cassiane,,,,intermediaria,5,,Celebração,celebração,,
Festa no Céu,Cassiane,,,,intermediaria,5,,Celebração,celebração,,
Com Cristo é Vencer,Cassiane,,,,intermediaria,4,,Celebração,confiança,,
Basta Uma Palavra,Cassiane,,,,intermediaria,2,,Ministração,confiança,,
Lugar de Glória,Cassiane,,,,intermediaria,2,,Ministração,esperança,,
Onde Jesus Mora,Cassiane,,,,iniciante,2,,Adoração,presença,,
Vou Seguir,Cassiane,,,,intermediaria,3,,Ministração,entrega,,
Recompensa,Cassiane,,,,intermediaria,3,,Ministração,esperança,,
Sinfonia de Louvor,Cassiane,,,,intermediaria,5,,Celebração,celebração,,
Tremendo e Santo,Cassiane,,,,intermediaria,3,,Adoração,santidade,,
Não Negue a Jesus,Cassiane,,,,intermediaria,2,,Apelo,fidelidade,,
Ele é o Rei,Cassiane,,,,intermediaria,4,,Celebração,soberania,,
Eu Quero Ver,Cassiane,,,,intermediaria,2,,Ministração,esperança,,
Minha Bênção,Cassiane,,,,intermediaria,2,,Ministração,gratidão,,
Faz Um Milagre em Mim,Régis Danese,,,,intermediaria,2,,Apelo,confiança,,
Ele Está Aqui,Régis Danese,,,,intermediaria,2,,Adoração,presença,,
Família,Régis Danese,,,,intermediaria,2,,Ministração,comunhão,,
Tu Podes,Régis Danese,,,,intermediaria,3,,Ministração,confiança,,
Cuida da Minha Casa,Régis Danese,,,,intermediaria,2,,Ministração,confiança,,
Compromisso,Régis Danese,,,,intermediaria,2,,Ministração,entrega,,
Ressuscita o Meu Sonho,Régis Danese,,,,intermediaria,3,,Ministração,esperança,,
O Espírito do Senhor,Kleber Lucas,,,,intermediaria,3,,Ministração,Espírito Santo,,
Vimos Adorar,Kleber Lucas,,,,intermediaria,3,,Adoração,adoração,,
Andar com Deus,Kleber Lucas,,,,intermediaria,2,,Ministração,confiança,,
Pra Recomeçar,Kleber Lucas,,,,intermediaria,2,,Ministração,esperança,,
Novo Jeito,Kleber Lucas,,,,intermediaria,2,,Ministração,entrega,,
Teu Chamado,Kleber Lucas,,,,intermediaria,3,,Ministração,missão,,
Em Ti Eu Sou,Gabriel Guedes,,,,intermediaria,2,,Adoração,confiança,,
Eu Louvo a Ti,Gabriel Guedes,,,,intermediaria,3,,Adoração,adoração,,
Teu Querer Em Mim,Gabriel Guedes,,,,intermediaria,2,,Ministração,entrega,,
Sua Presença É Tudo Pra Mim,Gabriel Guedes,,,,intermediaria,2,,Adoração,presença,,
Grande Eu Sou,Gabriel Guedes,,,,intermediaria,4,,Celebração,soberania,,
Eu Sou Teu,Gabriel Guedes,,,,intermediaria,2,,Adoração,entrega,,
Amor Que Enche,Laura Souguellis,,,,intermediaria,3,,Adoração,graça,,
Veio o Teu Amor,Laura Souguellis,,,,intermediaria,2,,Adoração,graça,,
Dono do Meu Ser,Laura Souguellis,,,,intermediaria,2,,Ministração,entrega,,
Filho Amado,Laura Souguellis,,,,intermediaria,2,,Ministração,graça,,
Lindo Momento,Julliany Souza,,,,intermediaria,4,,Celebração,"gratidão|alegria",,
A Maior Honra,Julliany Souza,,,,intermediaria,3,,Adoração,adoração,,
Promessa,Renascer Praise,,,,intermediaria,3,,Ministração,fidelidade,,
Escape,Renascer Praise,,,,intermediaria,2,,Ministração,confiança,,
1000 Graus,Renascer Praise,,,,intermediaria,5,,Ministração,Espírito Santo,,
"Novo Dia, Novo Tempo",Renascer Praise,,,,intermediaria,4,,Celebração,esperança,,
Andando Sobre As Águas,Renascer Praise,,,,intermediaria,3,,Ministração,confiança,,
Na Força do Louvor,Renascer Praise,,,,intermediaria,5,,Celebração,celebração,,
"Jesus, o Plano Perfeito",Renascer Praise,,,,intermediaria,2,,Ministração,soberania,,
Ser Conhecido de Deus,Renascer Praise,,,,intermediaria,2,,Ministração,presença,,
Quando o Mundo Cai Ao Meu Redor,André Valadão,,,,intermediaria,2,,Ministração,confiança,,
Milagre,André Valadão,,,,intermediaria,4,,Celebração,confiança,,
Solta O Cabo Da Nau,André Valadão,,,,intermediaria,3,,Ministração,"entrega|missão",,
Minha Vida Dou,André Valadão,,,,intermediaria,2,,Ministração,entrega,,
Contigo Dançar,André Valadão,,,,intermediaria,5,,Celebração,alegria,,
Livre Sou,André Valadão,,,,intermediaria,4,,Celebração,salvação,,
Posso Clamar,Eyshila,,,,intermediaria,2,,Apelo,confiança,,
Nada Pode Calar,Eyshila,,,,intermediaria,5,,Celebração,celebração,,
Gemido da Alma,Eyshila,,,,iniciante,1,,Apelo,arrependimento,,
"Filho, Volta",Eyshila,,,,iniciante,1,,Apelo,arrependimento,,
Enquanto Houver Sol,Eyshila,,,,intermediaria,3,,Ministração,missão,,
Tu És Bom (Em Todo o Tempo),Eyshila,,,,intermediaria,3,,Adoração,fidelidade,,
Dependente,"Eyshila / Weslei Santos / Damares",,,,intermediaria,2,,Ministração,entrega,,
Apocalipse,Damares,,,,intermediaria,5,,Celebração,"soberania|esperança",,
O Maior Troféu,Damares,,,,intermediaria,2,,Ministração,graça,,
Sabor de Mel,Damares,,,,intermediaria,2,,Adoração,presença,,
Consolador,Damares,,,,intermediaria,2,,Ministração,Espírito Santo,,
Um Novo Vencedor,Damares,,,,intermediaria,4,,Celebração,confiança,,
Na Mesa do Rei,Damares,,,,intermediaria,2,,Ceia,comunhão,,
Amigo de Deus,Adhemar de Campos,,,,intermediaria,2,,Adoração,comunhão,,
Tributo a Yehovah,Adhemar de Campos,,,,intermediaria,3,,Adoração,adoração,,
Louvemos Ao Senhor,Adhemar de Campos,,,,intermediaria,4,,Celebração,celebração,,
Meu Louvor Virá de Ti,Adhemar de Campos,,,,intermediaria,3,,Adoração,adoração,,
Cordeiro e Leão,Central 3,,,,intermediaria,4,,Celebração,soberania,,
Tudo a Ver com Ele,"Central 3 / André Aquino",,,,intermediaria,3,,Ministração,confiança,,
Não Há Outro Lugar,Central 3,,,,intermediaria,2,,Adoração,presença,,
Exaltamos,Central 3,,,,intermediaria,4,,Adoração,adoração,,
Transfiguração,Central 3,,,,intermediaria,2,,Ministração,santidade,,
Quero Conhecer-te Mais,Central 3,,,,intermediaria,2,,Adoração,adoração,,
Todo o Céu,Central 3,,,,intermediaria,5,,Celebração,celebração,,
Tu És Bom,Central 3,,,,intermediaria,3,,Adoração,fidelidade,,
As Muitas Águas,Central 3,,,,intermediaria,2,,Ministração,confiança,,
Quero Jesus,"Central 3 / Gabriel Guedes",,,,intermediaria,2,,Ministração,entrega,,
Guarda Meu Coração,Delino Marçal,,,,intermediaria,2,,Ministração,santidade,,
Que Amor É Esse,Delino Marçal,,,,intermediaria,3,,Adoração,graça,,
Sonhe Grande,Delino Marçal,,,,intermediaria,3,,Ministração,esperança,,
Fiel É Deus,Delino Marçal,,,,intermediaria,4,,Celebração,fidelidade,,
Ser Mudado,Alessandro Vilas Boas,,,,intermediaria,2,,Ministração,santidade,,
Me Faz Te Amar Mais,Alessandro Vilas Boas,,,,intermediaria,2,,Adoração,adoração,,
O Carpinteiro,Alessandro Vilas Boas,,,,intermediaria,2,,Ministração,graça,,
Eu Só Quero Tua Presença,Theo Rubia,,,,intermediaria,2,,Adoração,presença,,
Peregrino,"Theo Rubia / Cassiane",,,,intermediaria,3,,Ministração,esperança,,
Um Milhão de Anos,Theo Rubia,,,,intermediaria,4,,Celebração,celebração,,
Ninguém Pode Parar,"Theo Rubia / Fernandinho",,,,intermediaria,4,,Celebração,confiança,,
Rio da Tua Glória,"Theo Rubia / Ana Nóbrega",,,,intermediaria,3,,Ministração,Espírito Santo,,
Manifestação dos Filhos de Deus,Theo Rubia,,,,intermediaria,3,,Ministração,soberania,,
Nada Me Satisfaz,Marcus Salles,,,,intermediaria,2,,Ministração,entrega,,
Eu Só Quero Te Adorar,Marcus Salles,,,,intermediaria,2,,Adoração,adoração,,
O Senhor É Bom Eternamente,Marcus Salles,,,,intermediaria,4,,Celebração,fidelidade,,
O Poder da Oração,"Sarah Farias / Kailane Frauches",,,,intermediaria,3,,Ministração,confiança,,
Há Poder no Nome,"Sarah Farias / One Service",,,,intermediaria,4,,Celebração,soberania,,
Depois da Luta,"Sarah Farias / Hellen Miranda",,,,intermediaria,2,,Ministração,esperança,,
Deus Não Vai Parar,"Sarah Farias / Stella Laura / Valesca Mayssa",,,,intermediaria,4,,Celebração,confiança,,
Ser Feliz é Bem Mais Fácil,Gabriel Brito,,,,intermediaria,3,,Ministração,alegria,,
"Senhor, Te Quero",Vineyard,,,,intermediaria,2,,Adoração,entrega,,
"Vem, Esta é a Hora",Vineyard,,,,intermediaria,3,,Abertura,Espírito Santo,,
Mostra o Teu Poder,Vineyard,,,,intermediaria,4,,Celebração,soberania,,
"Mais Amor, Mais Poder",Vineyard,,,,intermediaria,3,,Ministração,Espírito Santo,,
Yahweh,Vineyard,,,,iniciante,3,,Adoração,adoração,,
Em Fervente Oração,tradicional,,,,iniciante,2,,Ministração,confiança,,
Mais Perto Meu Deus de Ti,tradicional,,,,iniciante,1,,Ministração,confiança,,
A Ceia do Senhor,tradicional,,,,iniciante,1,,Ceia,"cruz|comunhão",,
Jesus Messiah,Chris Tomlin,,,,intermediaria,4,,Celebração,salvação,,
Amazing Grace (My Chains Are Gone),Chris Tomlin,,,,intermediaria,4,,Celebração,"graça|salvação",,
A Heart of Worship,Matt Redman,,,,iniciante,2,,Adoração,adoração,,
We Shall Not Be Broken,Matt Redman,,,,intermediaria,4,,Celebração,confiança,,
Better Is One Day,Matt Redman,,,,intermediaria,3,,Adoração,presença,,
"10,000 Reasons (Bless the Lord)",Matt Redman,,,,intermediaria,4,,Celebração,gratidão,,
This Is Amazing Grace,Phil Wickham,,,,intermediaria,4,,Celebração,graça,,
True Love,Phil Wickham,,,,intermediaria,3,,Adoração,graça,,
Glory,Phil Wickham,,,,intermediaria,5,,Celebração,celebração,,
Living Hope,Phil Wickham,,,,intermediaria,4,,Celebração,"esperança|salvação",,
Endless Praise,Planetshakers,,,,intermediaria,5,,Celebração,celebração,,
Nothing Is Impossible,Planetshakers,,,,intermediaria,4,,Celebração,confiança,,
This Is Our Time,Planetshakers,,,,intermediaria,5,,Celebração,missão,,
The Anthem,Planetshakers,,,,intermediaria,5,,Celebração,celebração,,
Promises,Maverick City Music,,,,intermediaria,4,,Celebração,fidelidade,,
Jireh,Maverick City Music,,,,intermediaria,2,,Adoração,confiança,,
Man of Your Word,Maverick City Music,,,,intermediaria,2,,Adoração,confiança,,
Talking to Jesus,Maverick City Music,,,,intermediaria,2,,Ministração,comunhão,,
O Come to the Altar,Elevation Worship,,,,intermediaria,2,,Apelo,arrependimento,,
Do It Again,Elevation Worship,,,,intermediaria,4,,Celebração,fidelidade,,
Be Lifted High,Elevation Worship,,,,intermediaria,5,,Celebração,celebração,,
Give Me Faith,Elevation Worship,,,,intermediaria,2,,Ministração,confiança,,
Great In Us,Elevation Worship,,,,intermediaria,4,,Celebração,soberania,,
Bem-Aventurado,Hillsong Worship,,,,intermediaria,3,,Adoração,graça,,
Poder Desse Amor,Hillsong Worship,,,,intermediaria,4,,Celebração,graça,,
A Cada Dia,Hillsong Worship,,,,iniciante,2,,Adoração,fidelidade,,
